shipment_id,shopify_order_id,tracking_number,carrier,ship_date,status,last_scan_at
SS-8128,#7069,2181599706296201533688,FedEx,2026-08-03,delivered,2026-08-08T19:44:00-04:00
SS-8180,#7051,75523149135775949299,UPS,2026-08-03,shipped,2026-08-07T15:21:00-05:00
SS-8257,#7011,4556168147214586,USPS,2026-08-03,shipped,2026-08-07T13:06:00-07:00
SS-8340,#7018,5650333491141520850769,UPS,2026-08-03,in_transit,2026-08-04T13:03:00-05:00
SS-8464,#7072,1367492617647501,UPS,2026-08-03,delivered,2026-08-06T19:43:00-05:00
SS-8497,#7001,31216376182091660100,USPS,2026-08-03,delivered,2026-08-05T12:07:00-07:00
SS-8621,#7049,83503446945964883192,FedEx,2026-08-03,delivered,2026-08-05T16:47:00-05:00
SS-8630,#7000,20448515791971112125,UPS,2026-08-03,delivered,2026-08-06T10:19:00-07:00
SS-8632,#7062,2429563343244741759558,UPS,2026-08-03,shipped,2026-08-05T20:18:00-04:00
SS-8642,#7019,26817151602529867076,UPS,2026-08-03,in_transit,2026-08-05T13:54:00-04:00
SS-8714,#7021,5389218785193583,USPS,2026-08-03,delivered,2026-08-08T07:15:00-07:00
SS-8866,#7009,39406557820190432230,USPS,2026-08-03,delivered,2026-08-04T22:16:00-07:00
SS-8875,#7043,4421829987478122,USPS,2026-08-03,delivered,2026-08-05T22:28:00-04:00
SS-9058,#7030,9142614048933261454307,USPS,2026-08-03,delivered,2026-08-05T21:17:00-07:00
SS-9094,#7039,04350238502289466527,USPS,2026-08-03,delivered,2026-08-05T20:00:00-04:00
SS-9133,#7067,0566199530564184,UPS,2026-08-03,in_transit,2026-08-06T12:16:00-04:00
SS-9195,#7070,29615120485076653446,UPS,2026-08-03,delivered,2026-08-06T21:31:00-05:00
SS-9304,#7023,58485805263211960472,USPS,2026-08-03,delivered,2026-08-07T07:01:00-04:00
SS-9374,#7037,4546157493251149788795,USPS,2026-08-03,delivery_exception,2026-08-06T15:21:00-07:00
SS-9428,#7045,7185594079923045323167,USPS,2026-08-03,delivered,2026-08-07T17:02:00-04:00
SS-9567,#7003,4541829912699452,USPS,2026-08-03,delivered,2026-08-06T14:52:00-04:00
SS-9854,#7080,30899646924343548695,UPS,2026-08-03,delivered,2026-08-08T18:12:00-04:00
SS-9922,#7074,79915402732012953185,USPS,2026-08-03,delivered,2026-08-04T21:46:00-05:00
SS-10019,#6997,3544078967788892,UPS,2026-08-03,delivered,2026-08-07T07:48:00-05:00
SS-10044,#6994,6077214348696537155731,FedEx,2026-08-03,delivered,2026-08-07T12:19:00-05:00
