currency_date,currency,rate_to_usd
2026-07-08,USD,1.00000000
2026-07-08,CAD,0.72281837
2026-07-09,USD,1.00000000
2026-07-09,CAD,0.71170121
2026-07-10,USD,1.00000000
2026-07-10,CAD,0.72408664
2026-07-11,USD,1.00000000
2026-07-11,CAD,0.72915612
2026-07-12,USD,1.00000000
2026-07-12,CAD,0.71028169
2026-07-13,USD,1.00000000
2026-07-13,CAD,0.71907570
2026-07-14,USD,1.00000000
2026-07-14,CAD,0.72572335
2026-07-15,USD,1.00000000
2026-07-15,CAD,0.71469772
2026-07-16,USD,1.00000000
2026-07-16,CAD,0.72124749
2026-07-17,USD,1.00000000
2026-07-17,CAD,0.72095321
2026-07-18,USD,1.00000000
2026-07-18,CAD,0.71577046
2026-07-19,USD,1.00000000
2026-07-19,CAD,0.71661819
2026-07-20,USD,1.00000000
2026-07-20,CAD,0.71338256
2026-07-21,USD,1.00000000
2026-07-21,CAD,0.71066242
2026-07-22,USD,1.00000000
2026-07-22,CAD,0.72370002
2026-07-23,USD,1.00000000
2026-07-23,CAD,0.71175083
2026-07-24,USD,1.00000000
2026-07-24,CAD,0.71759456
2026-07-25,USD,1.00000000
2026-07-25,CAD,0.72092887
2026-07-26,USD,1.00000000
2026-07-26,CAD,0.72656795
2026-07-27,USD,1.00000000
2026-07-27,CAD,0.71427282
2026-07-28,USD,1.00000000
2026-07-28,CAD,0.72224214
2026-07-29,USD,1.00000000
2026-07-29,CAD,0.71911800
2026-07-30,USD,1.00000000
2026-07-30,CAD,0.72252118
2026-07-31,USD,1.00000000
2026-07-31,CAD,0.71472809
2026-08-01,USD,1.00000000
2026-08-01,CAD,0.72623979
2026-08-02,USD,1.00000000
2026-08-02,CAD,0.72967297
2026-08-03,USD,1.00000000
2026-08-03,CAD,0.71589277
2026-08-04,USD,1.00000000
2026-08-04,CAD,0.72352790
2026-08-05,USD,1.00000000
2026-08-05,CAD,0.72966939
2026-08-06,USD,1.00000000
2026-08-06,CAD,0.71690205
2026-08-07,USD,1.00000000
2026-08-07,CAD,0.71545878
2026-08-08,USD,1.00000000
2026-08-08,CAD,0.72264064
2026-08-09,USD,1.00000000
2026-08-09,CAD,0.71433789
2026-08-10,USD,1.00000000
2026-08-10,CAD,0.71687835
2026-08-11,USD,1.00000000
2026-08-11,CAD,0.71536131
2026-08-12,USD,1.00000000
2026-08-12,CAD,0.71076787
2026-08-13,USD,1.00000000
2026-08-13,CAD,0.72026186
2026-08-14,USD,1.00000000
2026-08-14,CAD,0.72052828
2026-08-15,USD,1.00000000
2026-08-15,CAD,0.71703708
2026-08-16,USD,1.00000000
2026-08-16,CAD,0.72724808
2026-08-17,USD,1.00000000
2026-08-17,CAD,0.72341785
2026-08-18,USD,1.00000000
2026-08-18,CAD,0.71827865
2026-08-19,USD,1.00000000
2026-08-19,CAD,0.72626035
2026-08-20,USD,1.00000000
2026-08-20,CAD,0.71803465
2026-08-21,USD,1.00000000
2026-08-21,CAD,0.71616777
2026-08-22,USD,1.00000000
2026-08-22,CAD,0.72710847
2026-08-23,USD,1.00000000
2026-08-23,CAD,0.72111780
2026-08-24,USD,1.00000000
2026-08-24,CAD,0.71811059
2026-08-25,USD,1.00000000
2026-08-25,CAD,0.71502292
2026-08-26,USD,1.00000000
2026-08-26,CAD,0.71078683
2026-08-27,USD,1.00000000
2026-08-27,CAD,0.71628055
2026-08-28,USD,1.00000000
2026-08-28,CAD,0.71201440
2026-08-29,USD,1.00000000
2026-08-29,CAD,0.71873827
2026-08-30,USD,1.00000000
2026-08-30,CAD,0.72938652
2026-08-31,USD,1.00000000
2026-08-31,CAD,0.71857180
2026-09-01,USD,1.00000000
2026-09-01,CAD,0.72657950
2026-09-02,USD,1.00000000
2026-09-02,CAD,0.71551434
2026-09-03,USD,1.00000000
2026-09-03,CAD,0.72163330
2026-09-04,USD,1.00000000
2026-09-04,CAD,0.71220581
2026-09-05,USD,1.00000000
2026-09-05,CAD,0.72117905
2026-09-06,USD,1.00000000
2026-09-06,CAD,0.71041163
2026-09-07,USD,1.00000000
2026-09-07,CAD,0.72452304
2026-09-08,USD,1.00000000
2026-09-08,CAD,0.72169427
2026-09-09,USD,1.00000000
2026-09-09,CAD,0.72697175
2026-09-10,USD,1.00000000
2026-09-10,CAD,0.71107107
2026-09-11,USD,1.00000000
2026-09-11,CAD,0.71447180
2026-09-12,USD,1.00000000
2026-09-12,CAD,0.72019735
2026-09-13,USD,1.00000000
2026-09-13,CAD,0.71621023
2026-09-14,USD,1.00000000
2026-09-14,CAD,0.72656427
2026-09-15,USD,1.00000000
2026-09-15,CAD,0.71045681
