shipment_id,shopify_order_id,tracking_number,carrier,ship_date,status,last_scan_at
SS-8050,#7147,20826773454019380262,USPS,2026-08-06,delivered,2026-08-11T16:20:00-05:00
SS-8055,#7095,1878519108839822587139,USPS,2026-08-06,shipped,2026-08-07T12:04:00-07:00
SS-8096,#7102,3637454589297500,USPS,2026-08-06,in_transit,2026-08-07T12:24:00-07:00
SS-8103,#7094,1043006848666188924141,USPS,2026-08-06,in_transit,2026-08-11T19:37:00-05:00
SS-8227,#7123,9456511810220317,USPS,2026-08-06,in_transit,2026-08-08T17:29:00-04:00
SS-8315,#7206,8284106727520885,UPS,2026-08-06,delivered,2026-08-10T19:25:00-05:00
SS-8439,#7218,76838903091436391025,UPS,2026-08-06,delivered,2026-08-07T18:28:00-07:00
SS-8456,#7180,33321160256434712871,UPS,2026-08-06,delivered,2026-08-08T21:00:00-04:00
SS-8457,#7200,5399156686334141,FedEx,2026-08-06,shipped,2026-08-10T10:12:00-07:00
SS-8470,#7191,29618446267146283143,USPS,2026-08-06,delivered,2026-08-09T08:20:00-07:00
SS-8510,#7192,0563411159503428,UPS,2026-08-06,delivered,2026-08-08T12:35:00-07:00
SS-8545,#7139,97745731441583311703,UPS,2026-08-06,delivered,2026-08-09T19:57:00-05:00
SS-8679,#7183,37553449021666708085,FedEx,2026-08-06,delivered,2026-08-08T12:36:00-05:00
SS-8691,#7107,0531611776872904774258,UPS,2026-08-06,delivered,2026-08-07T06:21:00-04:00
SS-8757,#7174,97662705115794238736,FedEx,2026-08-06,delivered,2026-08-07T10:33:00-04:00
SS-8768,#7158,03700332285566084706,UPS,2026-08-06,in_transit,2026-08-08T11:29:00-04:00
SS-8781,#7131,1558686395613723081721,FedEx,2026-08-06,delivered,2026-08-08T07:16:00-05:00
SS-8809,#7213,6164534547223989,USPS,2026-08-06,in_transit,2026-08-07T20:08:00-07:00
SS-8820,#7168,4008385076597595450891,UPS,2026-08-06,delivery_exception,2026-08-07T18:30:00-07:00
SS-8890,#7108,43368750926322399821,UPS,2026-08-06,delivered,2026-08-07T17:33:00-07:00
SS-8959,#7170,3176417268080815712901,USPS,2026-08-06,delivered,2026-08-08T14:38:00-04:00
SS-8996,#7165,4935340018167784816524,USPS,2026-08-06,delivered,2026-08-10T15:30:00-07:00
SS-8998,#7175,78105391287884869996,USPS,2026-08-06,delivered,2026-08-11T20:06:00-05:00
SS-9006,#7217,15006666411065411340,UPS,2026-08-06,delivered,2026-08-11T07:53:00-07:00
SS-9033,#7190,0067762550325017365426,UPS,2026-08-06,delivered,2026-08-07T21:15:00-05:00
SS-9071,#7198,3075384185201362608463,USPS,2026-08-06,delivered,2026-08-08T16:04:00-04:00
SS-9084,#7196,9895965466345443,FedEx,2026-08-06,delivered,2026-08-08T21:18:00-05:00
SS-9090,#7116,2137565896359570861993,UPS,2026-08-06,in_transit,2026-08-07T12:21:00-05:00
SS-9148,#7184,46645099990010898573,USPS,2026-08-06,shipped,2026-08-11T11:20:00-07:00
SS-9246,#7109,34581920487706769333,UPS,2026-08-06,in_transit,2026-08-09T22:09:00-04:00
SS-9274,#7132,8843021781678066431589,USPS,2026-08-06,delivered,2026-08-11T08:22:00-05:00
SS-9282,#7098,0364882159773854,USPS,2026-08-06,delivered,2026-08-11T16:04:00-04:00
SS-9370,#7124,1524461440923351746564,USPS,2026-08-06,delivered,2026-08-09T15:19:00-04:00
SS-9659,#7209,30734533023641224740,FedEx,2026-08-06,delivered,2026-08-09T19:11:00-04:00
SS-9699,#7138,4134931796706055,UPS,2026-08-06,in_transit,2026-08-07T18:15:00-07:00
SS-9784,#7122,2402555468939770411678,USPS,2026-08-06,delivered,2026-08-09T11:32:00-04:00
SS-9860,#7152,1580619499913650551919,FedEx,2026-08-06,shipped,2026-08-07T16:32:00-07:00
SS-9913,#7140,3306144357547893,FedEx,2026-08-06,delivered,2026-08-10T22:36:00-07:00
