currency_date,currency,rate_to_usd
2026-06-08,USD,1.00000000
2026-06-08,CAD,0.71761800
2026-06-09,USD,1.00000000
2026-06-09,CAD,0.71720000
2026-06-10,USD,1.00000000
2026-06-10,CAD,0.71690000
2026-06-11,USD,1.00000000
2026-06-11,CAD,0.71650000
2026-06-12,USD,1.00000000
2026-06-12,CAD,0.71600000
2026-06-13,USD,1.00000000
2026-06-13,CAD,0.71580000
2026-06-14,USD,1.00000000
2026-06-14,CAD,0.71560000
2026-06-15,USD,1.00000000
2026-06-15,CAD,0.71530000
2026-06-16,USD,1.00000000
2026-06-16,CAD,0.71500000
2026-06-17,USD,1.00000000
2026-06-17,CAD,0.71480000
2026-06-18,USD,1.00000000
2026-06-18,CAD,0.71450000
2026-06-19,USD,1.00000000
2026-06-19,CAD,0.71410000
2026-06-20,USD,1.00000000
2026-06-20,CAD,0.71390000
2026-06-21,USD,1.00000000
2026-06-21,CAD,0.71370000
2026-06-22,USD,1.00000000
2026-06-22,CAD,0.71330000
2026-06-23,USD,1.00000000
2026-06-23,CAD,0.71300000
2026-06-24,USD,1.00000000
2026-06-24,CAD,0.71280000
2026-06-25,USD,1.00000000
2026-06-25,CAD,0.71250000
2026-06-26,USD,1.00000000
2026-06-26,CAD,0.71220000
2026-06-27,USD,1.00000000
2026-06-27,CAD,0.71190000
2026-06-28,USD,1.00000000
2026-06-28,CAD,0.71170000
2026-06-29,USD,1.00000000
2026-06-29,CAD,0.71140000
2026-06-30,USD,1.00000000
2026-06-30,CAD,0.71110000
2026-07-01,USD,1.00000000
2026-07-01,CAD,0.71090000
2026-07-02,USD,1.00000000
2026-07-02,CAD,0.71060000
2026-07-03,USD,1.00000000
2026-07-03,CAD,0.71030000
2026-07-04,USD,1.00000000
2026-07-04,CAD,0.71000000
2026-07-05,USD,1.00000000
2026-07-05,CAD,0.70980000
2026-07-06,USD,1.00000000
2026-07-06,CAD,0.70940000
2026-07-07,USD,1.00000000
2026-07-07,CAD,0.70910000
